"state","gun_type","notes","n_killed","n_injured"
"Louisiana","Unknown","Was meeting to buy gun, held the victim at gunpoint instead",0,0
"Arkansas","Unknown",NA,0,0
"Oklahoma","Unknown","hi turn robbery, shot in head",1,0
"Illinois","Unknown",NA,0,1
"Illinois","Unknown",NA,0,0
"Illinois","Unknown","5 rds, from street",0,0
"Illinois","Unknown",NA,0,0
"Virginia","Rifle","bus stop db, father and son likely shot with rifle",0,2
"Connecticut",NA,"fail cj with realistic BB gun",0,0
"Missouri","Unknown","38.699782, -90.246138 ;",1,1
"Ohio","Unknown",NA,0,0
"Oklahoma","Unknown",NA,0,1
"South Dakota","Unknown","Case #2017-00048842",0,0
"New Jersey","Auto","drugs, loaded 45 cal handgun",0,0
"Missouri","Auto","Victim shot at stadium during high school football game.",0,1
"Oklahoma","Unknown","Teens try to carjack woman, beat her, held her at gunpoint til neighbors came to her aid. Suspects ran away. No shots fired;
36.220486, -95.984531 ;",0,0
"Mississippi","Unknown","AD to cheek",0,1
"Kansas","Unknown","drugs, gun",0,0
"Wisconsin","Unknown",NA,0,1
"California","Unknown","AR of off duty officer",0,0
"California","Unknown",NA,0,0
"Colorado","Unknown","Record ID 24413; unclear which arrestee was shooter.",0,0
"Nevada","Unknown",NA,1,0
"Nevada","Unknown","AR at park, victims followed suspects in car. Suspects fired at victims, led several hour standoff with SWAT before arrest. No inj.",0,0
"California","Unknown",NA,0,1
"Tennessee","Handgun","2:45 p.m. vic shot in face while in car; drug deal gone wrong",1,0
"Connecticut","Unknown","41.352917, -72.101172 ;",0,1
"Colorado","Handgun","Record ID 24412.",0,0
"Tennessee","Unknown","Man showed up at fire station with gunshot wound. Unclear where shooting occurred",0,1
"Illinois","Unknown","2 drivers argue, 1 shoots at other, hits a passenger, buttocks; bystander, foot; both good;
41.775751, -87.644968 ;",0,2
"Illinois","Unknown","6:30 a.m.",1,0
"Washington","Unknown","47.521889, -122.270001 ;",0,0
"California","Shotgun","man claimed to be fashioning himself as Mad Max",0,0
"Ohio","Handgun","traffic stop convicted felon with firearms",0,0
"Ohio","Unknown","7:12am, poss scared off by alarm",1,0
"Tennessee","Unknown","at Indiana Ave, man shot in alleyway later died",1,0
"Oklahoma","Unknown","McCurtain Co, respond to dv, shot suspect with knife;
33.988786, -95.015164 ;",1,0
"Massachusetts","Unknown","between Washington and Allston",0,1
"Massachusetts","Shotgun","vehicle stolen from off duty Det home overnight 6/21-6/22. empty pistol lockbox, Rem 12ga inside, Stolen vehicles, gun recover nearby and in Lowell",0,0
"Texas","Handgun","drugs, 2 pistols incl 1 stolen",0,0
"Missouri","Unknown",NA,0,1
"Ohio","Handgun","loaded handgun found in drug bust at hotel room",0,0
"Florida","Unknown","ALT: Weston and Sunrise",0,3
"Ohio","Unknown","Between Ellison St and N Ohio Ave. Playing with loaded gun in basement; 8yo shot in arm.",0,1
"Arizona","Unknown","arrest date",1,0
"New York","Unknown",NA,0,2
"West Virginia","Unknown","Grassy Meadows area, woman killed and man shot during argument over $200, suspect shot himself shortly after",2,1
"Kentucky","Unknown",NA,1,0
"Washington","Unknown","Man shot near homeless encampment",0,1
"Ohio","Unknown","Suspect held gun to victim's head, fled police; gun recovered, suspect in custody;",0,0
"New Jersey","Unknown","State Fair, parking lot; 11:30 p.m.",0,0
"New Jersey","22 LR","drugs, cash, loaded 22 cal handgun",0,0
"New Mexico","Handgun",NA,1,0
"Florida","Unknown",NA,0,1
"Florida","Handgun","road rage, physical altercation, threat with legal S&W 9mm, vic disarm",0,0
"Virginia","Unknown","Southside near East Belt Boulevard and Hopkins Road, pregnant wife shot dead, dv, husband found in Christianburg 6/23 self inflict gunshot",2,0
"Rhode Island","Unknown","traffic stop. 12 guns found incl. 4 stolen: 8 high-powered pistols, 1 revolver, 2 AR-15 rifles, 1 sawed-off shotgun",0,0
"South Carolina","Handgun",NA,0,1
"California","Unknown",NA,0,0
"Tennessee","Unknown","35.050029, -89.809534 ;",0,0
"California","Unknown","OIS, vic and deputy who was bitten both struck by ricochet as another officer shot at dog",1,1
"Maryland","Auto",NA,0,0
"California","Unknown","32.677032, -115.487188 ;",0,0
"Illinois","Handgun","41.773998, -87.784906 ;",0,0
"New Jersey","Shotgun","gang member, brother, mother with drugs, BB gun, ammo, sawed off 20ga, stolen 357 S&W, 22 cal Ruger rifle",0,0
"Tennessee","Unknown",NA,2,1
"Georgia","Unknown",NA,1,6
"Illinois","Unknown","1, arm; 1, leg; both good;
41.906634, -87.692212 ;",0,2
"Wisconsin","Unknown","Milwaukee Co corrections officer fired shots in own apt, made false report",0,0
"California","Unknown",NA,0,2
"Florida","Unknown","likely linked to Cocoa shooting, init Michael Cooper arrest, witness recant following day",0,0
"California","Unknown",NA,1,0
"North Carolina","Unknown",NA,0,1
"Arkansas","Unknown","home shot in db, 1 arrest after foot chase",0,0
"North Carolina","Unknown",NA,0,1
"New York","Unknown","traffic stop, foot chase, gun stolen from GA",0,0
"Connecticut","Unknown","graze in bodega",0,1
"New York","Unknown",NA,0,2
"North Carolina","Shotgun","Car at auto shop shot up by shotgun overnight",0,0
"California","Unknown",NA,0,0
"Illinois","Handgun","Police investigating fight find loaded pistol in trash can, drops of blood;
40.689821, -89.587641 ;",0,0
"California","Auto",NA,0,0
"Indiana","Unknown","Woman shot, leg, after argument w/ man; stable;",0,1
"Illinois","Unknown",NA,1,0
"Indiana","Unknown","Teen hit by 5 bullets, foot, arm, back, buttocks; 2 men knocked on door, ran, fired from street; shell casings found, street, grass;",0,1
"Illinois","Unknown","2 y/o, twice, abdomen, once arm; critical; 35 y/o shoulder, shoulder, stable;
41.858737, -87.720368 ;",0,2
"Delaware","Unknown",NA,0,0
"California","Unknown",NA,0,0
"Florida","Unknown","Bay Co, fired at male vic",0,0
"Florida","Unknown","1:09 p.m.",1,0
"Florida","Unknown",NA,0,1
"Illinois","Unknown","Leg, side, stable;
41.849276, -87.690887 ;",0,1
"Illinois","Unknown","Man killed on a porch by 2 who got out of car to fire, drove off;
41.883162, -87.743302 ;",1,0
"Illinois","Unknown","Hand, good;
41.824198, -87.606043 ;",0,1
"Illinois","Unknown","Grazed, neck, after hearing gunfire; stable;
41.794018, -87.620872 ;",0,1
"Ohio","Unknown","Woman seen firing gun into home; no known injury; sought;",0,0
"California","Unknown",NA,1,0
"Illinois","Unknown",NA,0,1
"Connecticut","Auto","shootout in front of barbershop",0,0
"Kentucky","Shotgun","36.994113, -84.091809 ;",0,1
"California","Unknown","near airport",0,2
"Massachusetts","Unknown","9:50 PM",0,0
"Texas","Unknown","shot vic then barricade in home",0,1
"Illinois","Unknown","Shot, hip, while walking, went to 4000 W Grenshaw for help; good;",0,1
"Virginia","Unknown","man shot found in 700 block of Bold St",0,1
"California","Unknown","38.694858, -120.813364 ; Yuba Co, Sierra Nevada Foothills",0,2
"Massachusetts","Unknown","10:13 PM",0,0
"Massachusetts","Unknown","found in car, near Southern St, poss drug deal gone bad, ALT vic age: 34yo",0,1
"Louisiana","Unknown","7pm",1,1
"South Carolina","Unknown",NA,0,1
"Florida","Unknown","30.348543, -81.674744 ;",0,2
"Maine","Handgun","AD shot self in stomach with 9mm; alt last name Libbey",0,1
"Michigan","Unknown",NA,0,0
"New York","Unknown","Shot after dispute; 1:45am; victim found by first responders at difft address: 55 Bowen St",0,1
"New York","Handgun","Shot while in parked vehicle; 4:30am;13rds fired at driver, female passenger killed by stray round. *Poss bar/club inc. -vics just left Hall Next Door Club",2,0
"New Hampshire","Unknown","Fired several rounds near group of teens he had seen break a glass on the street",0,0
"Arkansas","Unknown",NA,0,0
"Ohio","Unknown","suspect shot into car, killing vic in passenger's seat",1,0
"Arizona","Unknown","suspect drove car at officers after prior confrontation on Monroe, officer shot suspect",1,0
"Arkansas","Unknown","poss murder suicide, handgun recover at scene",2,0
"Georgia","Unknown",NA,0,3
"Ohio","Unknown","11pm",1,0
"Pennsylvania","Unknown","falsified citizenship info on federal firearms form",0,0
"Maryland","Unknown","Separate arrests, all for felon in possession",0,0
"Michigan","Unknown","Sentencing date",0,0
"North Carolina","Unknown","Shots fired by suspects into car occupied by two individuals who were not injured.",0,0
"Mississippi","Unknown",NA,0,1
"Arkansas","Unknown",NA,0,1
"California","Unknown",NA,0,1
"Maryland","Unknown","shot in shoulder approx 5:45 PM",0,1
"Louisiana","Unknown",NA,1,0
"Florida","Unknown",NA,0,1
"Maryland","Unknown","escalated physical altercation, multiple suspects, single gunman",0,2
"Ohio","AR-15",NA,0,0
"Kentucky","Unknown","38.246698, -85.596751 ;",1,0
"Missouri","Unknown","38.966270, -94.493352 ;",0,0
"Massachusetts","Handgun","9mm Luger",0,0
"Florida","Shotgun","Clay Co, respond to man firing shotgun, refuse verbal commands, shot multiple times;
29.738014, -82.016311 ;",0,1
"Florida","Unknown",NA,0,1
"Florida","Unknown",NA,0,1
"Connecticut","Unknown","41.592219, -72.771607 ;",0,0
"Wisconsin","Unknown","shots fired at unspec mobile home park",0,0
"Alabama","Shotgun","found in car with shotgun, poss self inflict",1,0
"Maryland","Unknown","dv murder suicide, suspect found on 45th",2,0
"Florida","Unknown",NA,1,1
"Wisconsin","Unknown","43.047936, -89.307884 ;",0,0
"Louisiana","Unknown",NA,0,0
"Connecticut","Unknown","shotspotter, approx 5:30 PM",0,0
"California","Unknown",NA,0,1
"Illinois","Unknown","Found on sidewalk, shot, head, critical;",0,1
"Maryland","Unknown","died at hosp",1,0
"North Dakota","Shotgun",NA,0,0
"Colorado","Unknown",NA,1,0
"Pennsylvania","Unknown","3 p.m.",1,0
"Tennessee","Unknown",NA,0,1
"Illinois","Unknown","Neck;
41.633695, -87.677612 ;",1,0
"Tennessee","Handgun","man with gun inside park, .9-mm pistol;
35.648917, -88.807971 ;",0,0
"Missouri","Unknown",NA,0,0
"Georgia","Unknown","33.744622, -84.290520 ;",1,0
"Louisiana","Unknown",NA,1,0
"Tennessee","Unknown",NA,0,1
"Texas","Unknown","Originally reported as drive-by. 2 men arguing in hotel room shot each other;
29.941351, -95.383039 ;",0,2
"South Carolina","Unknown","bystander shot",0,1
"Ohio","Unknown",NA,0,0
"Illinois","Unknown","Left wrist, good;",0,1
"California","Unknown",NA,0,0
"Illinois","Unknown","24 y/o arm, leg, stable; 29 y/o arm, stable;",0,2
"Illinois","Unknown","Man shot, head, in alley, by 1 of 4 attackers; serious;",0,1
"Kentucky","Handgun","4th arrest charge with complicity",2,1
"Minnesota","Unknown","Hennepin Co; later ruled DGU",1,0
"California","Unknown",NA,1,0
"Tennessee","Handgun",NA,0,0
"Texas","Unknown","I 20 and CF Hawn Fwy",1,0
"Tennessee","Unknown","35.047195, -89.830306 ;",0,0
"Georgia","Auto","34.102362, -85.322385 ;",0,0
"New York","Unknown","Vic shot in arm.",0,1
"Illinois","Handgun","Felon arrested after struggle over handgun; recovered;",0,0
"Georgia","Unknown","32.057782, -81.106066 ;",1,1
"Ohio","Unknown","threat girlfriend and family at gunpoint, led to shooting 7/24",0,0
"Indiana","Unknown","Argument between acquaintances leads to gunfire; woman shot, shoulder; treated, released;",0,1
"Mississippi","Unknown",NA,0,1
"Ohio","Unknown","found shot to death in suv",1,0
"California","Unknown","incident #201737384",0,0
"Illinois","Handgun","Gun, drugs, cash found after attempted speeding stop leads to chase, speed-stick stop at 900 block of Acorn St",0,0
"Virginia","Unknown","person shot walked into hospital",0,1
"District of Columbia","Unknown","ALT: Breakfast Place, near Douglas St, customer shot during ar",0,1
"North Carolina","Unknown","pw and robbed in driveway",0,1
"Georgia","Unknown","3 total suspects, 1 w/ gun. 2 arrested, unclear if arrested suspects were gunman. Resident died from stab wounds",0,0
"California","Unknown","possibly shot near 77th and Bancroft. subj arrested Seminary Ave and MacArthur Blvd, ID not yet released",1,0
"Indiana","Unknown","Adult male shot, upper thigh; stable;",0,1
"Virginia","Unknown","driver shot after giving directions to man in another car",0,1
"New Jersey","Unknown",NA,1,0
"New Mexico","Unknown","12:15 AM",0,0
"Georgia","Unknown",NA,0,1
"New Jersey","Unknown","stray bullet in child's bedroom",0,0
"South Carolina","Unknown",NA,0,1
"North Carolina","Unknown","Rowan Co, shots fired during attempt ar",0,0
"Georgia","Unknown",NA,0,0
"Illinois","Unknown","shot in arm at unspec gas station",0,1
"Mississippi","Unknown","likely cleaning gun, AD shot self",0,1
"West Virginia","Handgun","traffic stop, 2 handguns",0,0
"Louisiana","Unknown","approx 3 AM",0,1
"Arkansas","Unknown","apt 1824, shot in arm",0,1
"California","Unknown",NA,1,0
"North Carolina","Handgun","DV call. Moore Co, threat Dep with pistol, Dep shot suspect in leg",0,1
"North Carolina","Unknown","At bus stop",0,1
"South Carolina","Unknown","Shots fired; rear window of car shot out in parking lot of Shell gas station/convenience store",0,0
"Illinois","Unknown","Armed robbery attempt leaves man shot, buttocks; good;",0,1
"Indiana","Unknown","Boy found on sidewalk, died in hospital;",1,0
"Nevada","Auto","Strip hotel parking lot",0,1
"Kansas","Unknown",NA,0,0
"Missouri","Unknown",NA,0,0
"Illinois","Unknown",NA,0,0
"California","Unknown",NA,1,0
"Tennessee","Unknown","shots fired after car crash; address from TV video;
35.166075, -90.033374 ;",0,0
"West Virginia","Unknown","man found shot dead in his car",1,0
"Wisconsin","Unknown",NA,0,0
"Michigan","Unknown",NA,1,0
"Colorado","Unknown",NA,0,1
"Tennessee","Unknown",NA,0,1
"Illinois","Unknown","Man in stolen truck fires 4 - 5 shots in alley, abandons truck;",0,1
"Wisconsin","Unknown","fired shot during dv, Story School lockdown",0,0
"Ohio","Unknown","Suspect w/ loaded gun found at 300 Lincoln Park Cir. after victim kidnapped, carjacked by 2 men who invaded home;
39.948718, -83.804417 ;",0,0
"Tennessee","Unknown",NA,0,1
"Virginia","Unknown","Shot in arm;
36.939498, -76.244064 ;",0,1
"Iowa","Handgun","Suspect brandished stolen gun at officers.",0,0
"Virginia","Unknown","Man found outside home, in military housing area",1,0
"Texas","Unknown",NA,1,0
"California","Unknown","2 cars collided at that intersection, drivers started arguing; man in third car took aim at the drivers but missed and hit vic bystander;
33.953287, -118.25401",1,0
"Kentucky","Handgun","Boy took stolen gun from backpack, AD; age orig reported as 14.",0,1
"California","Auto",NA,0,0
"Tennessee","Unknown",NA,0,1
"North Carolina","Unknown","Robeson Co. Suspects, victim working on roof, began arguing about pay. Suspect left work site, returned with gun, shot/killed victim;
34.658409, -79.082052 ;",1,0
"Florida","Unknown","shots fired from vehicle",0,0
"Washington","Unknown","shot during attempt drug deal AR, electronic lockdown;
47.259933, -122.479473 ;",0,1
"Louisiana","Unknown","32.455632, -93.806005 ;",0,1
"Colorado","Unknown","suicide as officers were preparing to arrest suspect on other charges",1,0
"California","Unknown",NA,0,0
"North Dakota","Unknown","Neighbor held burglary suspect at gunpoint until police arrived.",0,0
"Tennessee","Unknown",NA,0,1
"Illinois","Unknown","41.923723, -88.298546 ;",0,0
"Florida","Handgun","traffic stop, drugs, 2 handguns incl 1 stolen",0,0
"North Carolina","Unknown",NA,0,1
"California","Unknown",NA,0,1
"Florida","Unknown","threat self and held female vic against will, shots fired, no inj, overnight standoff 6/22-6/23, surrender with gas",0,0
"Florida","Handgun","Charlotte Co, drugs, Colt 22 rifle, 3 handguns, charges unclear for 2 other adults, 2 juveniles",0,0
"California","Unknown",NA,0,0
"Illinois","Unknown","Injured man walks in to Stroger Hosp; uncooperative; leaves w/o treatment;
41.872316, -87.674548 ;",0,1
"Florida","Handgun","hi, stole electronics, cash, phones at gunpoint",0,1
"Florida","Unknown",NA,0,1
"North Carolina","Unknown","approx 9:45 PM, former ECU football player",1,0
"Illinois","Unknown","Grazed, chest, good;",0,1
"Illinois","Unknown","Leg, stable;",0,1
"Iowa","Unknown","behind Fun Wash laundromat",0,1
"Illinois","Unknown","Victim shot, face, walk-up by 1; critical;",0,1
"New York","Unknown","11:37pm Man shot by assailant who pulled gun on victim leaving ""Dear Summer"" party in Morningside park. 2nd of 3 shootings after event.",0,1
"Illinois","Unknown","Chest;",0,1
"Pennsylvania","Handgun","3:47 p.m. 2 people shooting 9mm on priv property, stray rd hit woman in car on Myers School Rd; 2 subjects identified not charged; Pursuing as reckless handling",1,0
"Mississippi","Unknown",NA,0,0
"Virginia","Unknown","found on Town Point Rd;
36.868103, -76.401859 ;",0,1
"Illinois","Unknown","3 wounded, stable, by walk-up shooter or shooters at house party;",0,3
"Delaware","Unknown",NA,0,1
"Florida","Unknown","10:30 PM",0,1
"California","Handgun","shot mother then self",2,0
"Illinois","Unknown","Tip leads to man in poss stolen gun w/o FOID;",0,0
"Florida","Unknown",NA,0,1
"Missouri","Unknown","38.749320, -90.324496 ;",1,0
"Illinois","Handgun",NA,0,0
"Louisiana","Unknown","result of argument with suspect sister at party",1,0
"Illinois","Unknown","Chest; 5pm;",1,0
"Mississippi","Unknown",NA,0,1
"Michigan","Unknown","3am",0,1
"Indiana","Unknown",NA,0,1
"South Carolina","Unknown",NA,0,0
"California","Unknown",NA,0,0
"Kansas","Unknown","shot in chest",1,0
"Ohio","Handgun","accidentally shot by stepbrother in parked car at gas station",0,1
"New Jersey","Unknown",NA,0,1
"Louisiana","Unknown","family argument...victim tried to take keys from drunk relative.",0,1
"Missouri","Unknown",NA,0,2
"Minnesota","Unknown","ALT vic name: Daceion",1,0
"Missouri","Unknown",NA,0,0
"Indiana","Unknown",NA,0,1
"Illinois","Unknown","Walk-up shooter hits victim, abdomen; critical; died in hospital;",1,0
"Pennsylvania","Shotgun","fired shotgun at neighbors he thought were trespassing; they were just doing yard work on their own property",0,0
"New York","Unknown",NA,0,1
"South Carolina","Unknown","33.009239, -80.811857 ;",0,1
"Kentucky","Unknown","6:46 a.m.",1,0
"Georgia","Unknown",NA,0,0
"Missouri","Unknown","1:30am",0,1
"Alabama","Unknown","8:45 PM",1,0
"New York","Unknown","5am",0,1
"Ohio","Handgun","unloaded magazine, pulled trigger not knowing there was a bullet in the chamber",0,1
"South Carolina","Unknown",NA,0,0
"New Jersey","Unknown",NA,0,1
"Louisiana","Unknown","Turned self in June 30, shot after fight, under the influence of alcohol",0,1
"California","Unknown","outside Rodney's Cigar and Liquor Store; 10:30 a.m.",0,1
"Oregon","AR-15","June 17 Lantac Raven assault rifle; recovered. other 3 still missing
June 23 Century Arms assault rifle
June 24 Noveske rifles (x2)
Arrested 07/03",0,0
"Kansas","Unknown",NA,1,0
"Pennsylvania","Mag","Wedgewood Golf Course, 4875 Limeport Pike, suspects fired shots in standoff, then shot female then self",2,0
"South Dakota","Handgun","intox suspect threat own children with 40 cal handgun, no shots fired",0,0
"Ohio","Shotgun","shotgun, rifle, pistol stolen from business",0,0
"California","Unknown",NA,0,0
"Colorado","Unknown","Record ID 24416.",0,1
"Pennsylvania","Unknown","man on farmhouse roof with gun",0,0
"Missouri","Unknown","First of two kidnapping incidents by same group of suspects over a two-day period.;
38.603433, -90.269881 ;",0,0
"Louisiana","Unknown",NA,0,2
"Idaho","Unknown",NA,0,0
"Tennessee","Unknown",NA,1,0
"California","Rifle","threat family member with rifle, fire shots in home, no inj, turn self in",0,0
"Mississippi","Unknown",NA,0,0
"New Mexico","Unknown",NA,0,0
"Pennsylvania","Unknown",NA,1,0
"Illinois","Unknown","Teen's body found in front of a house, shot multiple times;
38.611777, -90.162371 ;",1,0
"North Carolina","Unknown","bar 4 injured",0,4
"New Jersey","Handgun","NC mover stole 3 guns from home, 1 recover",0,0
"Massachusetts","Unknown","9 legal rifles and shotguns, ammo found in house fire, summons for improper storage",0,0
"New York","Unknown","11:47pm 3rd of 3 shootings as ppl left Dear Summer party in Morningside Park.",0,1
"Illinois","Unknown",NA,0,0
"Arkansas","AR-15","shots fired from sedan with AR15, male vic Monroe Gang member",0,2
"New York","Unknown","10:37 pm: First of 3 shootings that occurred as up to 1,000 ppl left park after annual ""Dear Summer"" party.",0,5
"Pennsylvania","Handgun","held daughter and woman hostage, end barricade with self inflict gunshot",1,0
"Florida","Unknown","near Glades Sugar House, 1500 W Sugar House Rd; 7pm",1,0
"California","Unknown",NA,0,1
"California","Handgun",NA,0,0
"New Jersey","Unknown","drug busts occurred 5/23 and 5/24; Trenton Police Department address",0,0
"New York","Mag","Harassing and intimidating neighbor with gun and baseball bat",0,0
"Illinois","Unknown","Teen shot 3 times, leg, after argument at stop light; good;
41.756421, -87.586086 ;",0,1
"Virginia","Unknown","man shot during robbery at store",0,1
"Kentucky","Handgun","men shot during argument, handgun",0,1
"Massachusetts","Unknown","2:43 AM",0,0
"Michigan","Unknown","call 911 6/23 with alleged hostages, barricade overnight 6/23-6/24, peaceful surrender",0,0
"Massachusetts","Unknown","shotspotter, approx 8 pm, 2 vehicles, unclear if shootout or joint effort",0,0
"Florida","Unknown","block party",1,4
"Missouri","Unknown","38.682733, -90.272390 ;
RELOAD 1",1,0
"South Carolina","Handgun","AD shot self with stolen pistol, multiple stolen guns recover",1,0
"Kentucky","Unknown","Police believe 2 shootings connected",0,2
"California","AR-15","Santa Clarita Valley, suicidal suspects fired shots. 15 guns seized incl incl 50 cal rifle, AR15, 12ga shotgun, assault rifle, pistols, shotguns, rifles",0,0
"California","Unknown",NA,2,2
"California","Unknown",NA,0,1
"New Mexico","Unknown",NA,0,0
"California","Unknown","vic is unarmed security guard",0,1
"Pennsylvania","Mag","357 Mag stolen in East Lampeter Township",0,0
"Florida","Auto",NA,0,1
"North Carolina","Unknown","Bar owner shot/killed",1,0
"Oregon","Unknown","held sig other hostage, child found outside, unclear female vic inj, peaceful surrender",0,0
"Tennessee","Handgun","Hermitage, teen struck when pistol discharged inside vehicle died. Bullet went through shooter's hand, struck victim",1,1
"Oregon","Unknown","CJ; followed by police chase",1,0
"South Dakota","Unknown","Case #2017-00049639",0,0
"Missouri","Unknown","approx 2:15 pm, AD shot friend with gun, playing with gun, though unloaded;
38.748939, -90.218340 ;",1,0
"Nevada","Unknown","shootout between 2 families; 11:07 a.m.",0,3
"Kentucky","Unknown","near Mockingbird Lane, man shot during fight;
38.028945, -84.519619 ;",0,1
"New Jersey","Unknown",NA,0,4
"Kentucky","Unknown","Deputy shot himself in chest in what is believed to be an attention seeking incident.",0,1
"Florida","Unknown","also fired shots at same car on James Wilson Circle",0,0
"Massachusetts","Handgun","9mm S&W, 40 cal Glock",0,0
"Florida","AR-15","30.409343, -84.282079 ;",0,0
"Georgia","Unknown",NA,1,0
"Florida","Auto","28.386825, -80.710697 ;",0,1
"California","Unknown","34.271268, -118.579852 ;",0,0
"Minnesota","Unknown","shot outside, poss link to disturbance at nearby Hoggsbreath bar",0,3
"Missouri","Unknown",NA,0,0
"North Carolina","Unknown",NA,0,3
"Mississippi","Unknown","34.277439, -88.716222 ;",0,0
"Massachusetts","Unknown","shots report approx 12:45 AM",0,0
"California","Unknown",NA,0,1
"Virginia","Unknown","near Chippenham Highway, teen shot at apartment complex",0,1
"Washington","Unknown",NA,0,2
"Arkansas","Unknown","fired shots at, cj vehicle after kicked out as passenger, stolen car recover soonafter, unclear if arrest",0,0
"California","Auto",NA,0,0
"Illinois","Unknown","Shot, leg, while riding bike; stable;
41.904421, -87.640523 ;",0,1
"North Carolina","Unknown","shot in leg with stolen gun",0,1
"Illinois","Unknown","Shot, arm, while sitting on a porch;",0,1
"Illinois","Unknown","Woman wounded, side of head; treated/ released; good;",0,1
"Rhode Island","Handgun","fired shots in air with unlicensed pistol",0,0
"Maine","Unknown","shots report approx 2:45 PM;
44.547450, -69.631868 ;",0,0
"Illinois","Unknown","22 y/o grazed, cheek, refused medical attention; 23 y/o ankle, good;",0,2
"Illinois","Unknown","Passenger in car shot, finger, good;",0,1
"Illinois","Unknown","Leg, stable;",0,1
"Indiana","Unknown","Shots fired from address hit 2 apartments in 3800 block; 2nd man arrested on other chgs.",0,0
"Pennsylvania","Unknown",NA,1,0
"Illinois","Unknown","Teen shot, arm, while in a car; stable",0,1
"Illinois","Unknown","Left shoulder, serious;",0,1
"Illinois","Unknown","Left arm, stable;",0,1
"New Jersey","Unknown","fired shots",0,0
"South Carolina","Unknown",NA,1,0
"Washington","Unknown","10 p.m. shot ex's new boyfriend then self",1,1
"California","Unknown","father shot son; facts were insufficient to permit me to overcome a self-defense claim so father not charged",1,0
"Maryland","Unknown","shot in ankle",0,1
"Maryland","Unknown","corner store, shot in foot, found on 900 block",0,1
"New York","Shotgun","Addy provided by IPN911.net text alert; RPD officer shot; stable condition",0,1
"Colorado","Unknown","38.812662, -104.822349 ;",0,2
"Indiana","Unknown","Victim's body found on-scene;",1,0
"California","Unknown",NA,1,0
"Tennessee","Unknown","Midtown, woman beaten with gun and carjacked in driveway",0,1
"Illinois","Unknown","Walk-up shooter hits teen, hip; good;",0,1
"Alabama","Unknown","clerk shot after struggle over gun",0,1
"California","Unknown","35.769868, -119.241680 ;",1,0
"Connecticut","Unknown",NA,0,1
"Illinois","Unknown","Passenger in car hit rt. eye, rt. thigh; serious;",0,1
"Minnesota","Unknown","47.877238, -95.003770 ;",1,0
"District of Columbia","Unknown",NA,0,1
"Virginia","Unknown","traffic stop, drugs, cash, 6 guns found in car, home search in Radford found more drugs",0,0
"New York","Unknown",NA,0,0
"Pennsylvania","Unknown","1:41 am",0,1
"Nevada","Unknown","Officer Cody Thompson, Officer Theodore Carrasco; f vic shot on Assembly Drive;",1,1
"California","Unknown","39.149461, -121.620684 ;",0,0
"Mississippi","Unknown","10 p.m.",0,1
"Mississippi","Unknown",NA,0,0
"California","Handgun","gang member with 5 guns incl 4 stolen",0,0
"Michigan","Unknown","Save Our Youth program gun buyback, at least 20 guns turned in",0,0
"Georgia","Unknown","30.847036, -83.263522 ;",0,1
"Illinois","Unknown","Man shot during altercation w/ 2 masked men at a home; stable;",0,1
"Michigan","Unknown","shot in stomach multiple times, hi, gun stolen, unclear if shot with own gun",0,1
"California","Unknown",NA,2,0
"Florida","Unknown",NA,0,1
"Maryland","Unknown","porch, shot in foot, leg",0,2
"Virginia","Unknown","Father shot and killed son.",1,0
"California","Unknown",NA,1,0
"Alabama","Unknown","Murder/suicide, victims cause of death unknown",2,0
"Washington","Unknown","shot after OIS chase",1,0
"North Carolina","Unknown","respond to brandish, arrest with drugs, gun",0,0
"Pennsylvania","Unknown","shot in hip",0,1
"Texas","Unknown","drug deal gone wrong",0,1
"Indiana","Unknown","vic is off duty correction officer; shooter exonerated, alibi; vic arrested/ false informing;",0,1
"Georgia","Unknown",NA,0,0
"Oregon","Unknown","AD to man's leg during child's bday party; shooter drunk; hid gun before LEO arrived.",0,1
"Indiana","Unknown","Man shot, alley, critical; shell casings recovered;",0,1
"Oklahoma","Handgun","officers shot subject approx 8 pm, attempt hi",1,0
"Pennsylvania","Unknown","Traffic stop; LEO saw firearm in the car. Jones clipped Trooper Raymond Harding w/car while fleeing; 2 LEO fired at car; no inj",0,0
"Ohio","Unknown",NA,2,0
"Georgia","Unknown","7 a.m. near Newton Plaza",0,1
"Massachusetts","Handgun","Traffic stop; passenger in poss of stolen Sig Sauer & ammo; no FID card",0,0
"Louisiana","Unknown",NA,1,0
"Pennsylvania","Rifle","Woollam pointed rifle at neighbor Samuel Steffie and demanded that he turn down the music",0,0
"California","Handgun",NA,0,0
"Ohio","Unknown","39.655808, -84.135851 ;",0,0
"Texas","Unknown","threat person in Spanish, with gun, 2 guns seized from vehicle",0,0
"Louisiana","Unknown","shot in sleep in home, approx 4:30 AM;
32.473677, -93.775869 ;",1,0
"Oklahoma","Handgun","Cherokee Co, fired shots in air, result of ongoing dispute",0,0
"Virginia","Unknown","neighborhood dispute",0,1
"North Carolina","Unknown","Carjacking at gunpoint. Another gun was inside the car at the time it was stolen.;
35.929674, -78.843424 ;",0,0
"Florida","Unknown","AD; no inj; a fight broke out amongst fares and Uber driver when the gun AD fired",0,0
"Florida","Unknown",NA,0,1
"Florida","Unknown",NA,0,1
"Missouri","Unknown",NA,0,0
